客戶名稱,聯絡人,電話,地區,階段,負責人,最後聯絡日,備註
王先生物件,王大明,0912-345-678,台北信義,找好場地接近成交,建佑,2026-03-20,已看場地準備簽約
李小姐物件,李美美,0922-111-222,台中西屯,有意願尋找場地中,阿建,2026-03-18,正在找場地
張先生物件,張三,0933-444-555,高雄左營,初次聯繫,大點,2026-03-21,初次接觸
陳小姐物件,陳四,0944-666-777,桃園中壢,找好場地接近成交,建佑,2026-03-19,本週簽約
林先生物件,林五,0955-888-999,台南東區,有意願尋找場地中,阿建,2026-03-17,場地評估中
黃先生物件,黃六,0966-111-222,新竹東區,初次聯繫,大點,2026-03-22,剛打來詢問
吳小姐物件,吳七,0977-333-444,台中北區,未聯繫上,建佑,2026-03-15,打了3次都沒接
劉先生物件,劉八,0988-555-666,台南中西,找好場地接近成交,阿建,2026-03-21,談價格中
趙小姐物件,趙九,0911-777-888,台北大安,有意願尋找場地中,建佑,2026-02-15,舊客戶超過30天
周先生物件,周十,0922-999-111,高雄鳳山,未聯繫上,大點,2026-01-10,舊客戶超過30天未聯繫
